Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,2014,2015,2016,2017,2018,2019
"Chemical and physical characterization of Opuntia spp. seeds grown in Hidalgo State, Mexico","Prieto-Garcia, Francisco; Prieto Mendez, Judith; Acevedo Sandoval, Otilio A.; Canales Flores, Roberto A.; Marmolejo Santillan, Yolanda",,,,CIENCIA E INVESTIGACION AGRARIA,APR 2016,2016,43,1,,,,143,150,,10.4067/S0718-16202016000100013,,,0,0,0,0,0,0,0,0
"The importance of native bees, especially cactus bees (Diadasia spp) in the pollination of cactus pears","Felker, Peter; Bunch, Ron",,,,JOURNAL OF THE PROFESSIONAL ASSOCIATION FOR CACTUS DEVELOPMENT,2016,2016,18,,,,,15,24,,,,,0,0,0,0,0,0,0,0
Genetic divergence between Mexican Opuntia accessions inferred by polymerase chain reaction-restriction fragment length polymorphism analysis,"Samah, S.; Valadez-Moctezuma, E.; Pelaez-Luna, K. S.; Morales-Manzano, S.; Meza-Carrera, P.; Cid-Contreras, R. C.",,,,GENETICS AND MOLECULAR RESEARCH,2016,2016,15,2,,,,,,UNSP 15027786,10.4238/gmr.15027786,,,0,0,0,0,0,0,0,0
"Study of TiO2 Particles Size, Dyes, and Catalyst to Improve The Performance of DSSC","Saehana, Sahrul; Darsikin; Muslimin",,,"Purwanto, A; Nur, A; Rahmawati, F; Dyartanti, ER; Jumari, A",6TH NANOSCIENCE AND NANOTECHNOLOGY SYMPOSIUM (NNS2015),2016,2016,1710,,,,,,,30044,10.1063/1.4941510,6th Nanoscience and Nanotechnology Symposium (NNS),"NOV 04-05, 2015",0,0,0,0,0,0,0,0
Evaluation of the Efficiency of Opuntia ficus-indica Cladode Cuttings for Vegetative Multiplication,"Stambouli-Essassi, Sondes; Harrabi, Rania; Bouzid, Sadok; Harzallah-Skhiri, Fethia",,,,NOTULAE BOTANICAE HORTI AGROBOTANICI CLUJ-NAPOCA,JUL-DEC 2015,2015,43,2,,,,521,527,,,,,0,0,0,0,0,0,0,0
Effect of NP Fertilizing on Fruit Yield and Fruit Quality of Cactus Pear,"Arba, M.; Paul, R.; Choukrallah, R.; Falisse, A.; Sindic, M.",,,"Inglese, P; Liguori, G; Nefzaoui, A",VIII INTERNATIONAL CONGRESS ON CACTUS PEAR AND COCHINEAL,2015,2015,1067,,,,,39,46,,,8th International Congress on Cactus Pear and Cochineal,"OCT 28-31, 2013",0,0,0,0,0,0,0,0
"Influence of the Timing of Flowers and Young Cladodes Removal on Reflowering and Harvest Periods, Yields and Fruits Quality of Prickly Pear (Opuntia ficus-indica)","Boujghagh, M.; Bouharroud, R.",,,"Inglese, P; Liguori, G; Nefzaoui, A",VIII INTERNATIONAL CONGRESS ON CACTUS PEAR AND COCHINEAL,2015,2015,1067,,,,,79,82,,,8th International Congress on Cactus Pear and Cochineal,"OCT 28-31, 2013",0,0,0,0,0,0,0,0
"Cactus Pear (O. ficus-indica (L.) Mill.) Fruit Production: Ecophysiology, Orchard and Fresh-Cut Fruit Management","Liguori, G.; Inglese, P.",,,"Inglese, P; Liguori, G; Nefzaoui, A",VIII INTERNATIONAL CONGRESS ON CACTUS PEAR AND COCHINEAL,2015,2015,1067,,,,,247,252,,,8th International Congress on Cactus Pear and Cochineal,"OCT 28-31, 2013",0,0,0,0,0,0,0,0
FLOWERING AND FRUCTIFICATION IN DIFFERENT TYPES OF CLADODES RED PITAYA IN LAVRAS-MG,"Costa, Ana Claudia; Ramos, Jose Darlan; dos Reis Silva, Fabio Oseias; Duarte, Mariene Helena",,,,REVISTA BRASILEIRA DE FRUTICULTURA,MAR 2014,2014,36,1,,,,279,284,,10.1590/0100-2945-304/13,,,0,0,0,0,0,0,0,0
A New Series of Pest- and Disease-Resistant Vigour-Controlling Apple Rootstocks,"Tustin, D. S.; Seymour, S. M.; Breen, K. C.",,,"Theron, K","X INTERNATIONAL SYMPOSIUM ON INTEGRATING CANOPY, ROOTSTOCK AND ENVIRONMENTAL PHYSIOLOGY IN ORCHARD SYSTEMS",2014,2014,1058,,,,,663,668,,,"10th International Symposium on Integrating Canopy, Rootstock and Environmental Physiology in Orchard Systems","DEC 03-06, 2012",0,0,0,0,0,0,0,0
"Anticoagulant therapy for symptomatic calf deep vein thrombosis (CACTUS): a randomised, double-blind, placebo-controlled trial","Righini, Marc; Galanaud, Jean-Philippe; Guenneguez, Herve; Brisot, Dominique; Diard, Antoine; Faisse, Pascale; Barrellier, Marie-Therese; Hamel-Desnos, Claudine; Jurus, Christine; Pichot, Olivier; Martin, Myriam; Mazzolai, Lucia; Choquenet, Clarisse; Accassat, Sandrine; Robert-Ebadi, Helia; Carrier, Marc; Le Gal, Gregoire; Mermilllod, Bernadette; Laroche, Jean-Pierre; Bounameaux, Henri; Perrier, Arnaud; Kahn, Susan R.; Quere, Isabelle",,,,LANCET HAEMATOLOGY,DEC 2016,2016,3,12,,,,E556,E562,,10.1016/S2352-3026(16)30131-4,,,23,7.67,0,0,1,14,8,0
"Floral visitation by the Argentine ant reduces pollinator visitation and seed set in the coast barrel cactus, Ferocactus viridescens","LeVan, Katherine E.; Hung, Keng-Lou James; McCann, Kyle R.; Ludka, John T.; Holway, David A.",,,,OECOLOGIA,JAN 2014,2014,174,1,,,,163,171,,10.1007/s00442-013-2739-z,,,22,4.4,3,2,8,4,5,0
